name,level,valid_from,valid_to,issued
Namibia,4,2021-12-01,2022-02-01,2021-11-27
Namibia,3,2022-03-01,2022-03-01,2022-02-22
Namibia,1,2022-04-01,2023-11-01,2022-03-28
Namibia,2,2023-12-01,,2023-11-27
Nauru,1,2018-03-01,2020-08-01,2018-01-10
Nauru,3,2020-09-01,2020-11-01,2020-08-06
Nauru,2,2020-12-01,2021-04-01,2020-11-23
Nauru,4,2021-05-01,2022-04-01,2021-04-20
Nauru,1,2022-05-01,,2022-04-18
Nepal,2,2018-03-01,2020-08-01,2018-01-10
Nepal,3,2020-09-01,2021-05-01,2020-08-06
Nepal,4,2021-06-01,2021-10-01,2021-05-10
Nepal,3,2021-11-01,2021-11-01,2021-10-04
Nepal,2,2021-12-01,2022-01-01,2021-11-08
Nepal,3,2022-02-01,2022-03-01,2022-01-31
Nepal,2,2022-04-01,2025-09-01,2022-03-21
Nepal,3,2025-10-01,2026-03-01,2025-09-11
Nepal,2,2026-04-01,,2026-03-31
Netherlands,1,2018-03-01,2018-09-01,2018-01-10
Netherlands,2,2018-10-01,2020-08-01,2018-09-28
Netherlands,3,2020-09-01,2021-04-01,2020-08-06
Netherlands,4,2021-05-01,2021-09-01,2021-04-20
Netherlands,3,2021-10-01,2021-11-01,2021-09-07
Netherlands,4,2021-12-01,2022-04-01,2021-11-08
Netherlands,2,2022-05-01,,2022-04-19
New Caledonia,1,2018-03-01,2020-08-01,2018-01-10
New Caledonia,2,2020-09-01,2021-04-01,2020-08-06
New Caledonia,3,2021-05-01,2021-10-01,2021-04-21
New Caledonia,4,2021-11-01,2022-04-01,2021-10-04
New Caledonia,1,2022-05-01,2024-05-01,2022-04-18
New Caledonia,3,2024-06-01,2026-05-01,2024-06-04
New Caledonia,2,2026-06-01,,2026-05-21
New Zealand,1,2018-03-01,2020-08-01,2018-01-10
New Zealand,2,2020-09-01,2020-11-01,2020-08-06
New Zealand,1,2020-12-01,2021-04-01,2020-11-23
New Zealand,3,2021-05-01,2022-03-01,2021-04-21
New Zealand,4,2022-04-01,2022-04-01,2022-03-07
New Zealand,3,2022-05-01,2022-05-01,2022-04-18
New Zealand,1,2022-06-01,,2022-05-09
Nicaragua,2,2018-03-01,2018-04-01,2018-01-10
Nicaragua,3,2018-05-01,2020-08-01,2018-04-23
Nicaragua,4,2020-09-01,2020-09-01,2020-08-06
Nicaragua,3,2020-10-01,2021-04-01,2020-09-28
Nicaragua,4,2021-05-01,2022-04-01,2021-04-20
Nicaragua,3,2022-05-01,,2022-04-19
Niger,3,2018-03-01,2021-04-01,2018-01-10
Niger,4,2021-05-01,2021-06-01,2021-04-21
Niger,3,2021-07-01,2021-11-01,2021-06-16
Niger,4,2021-12-01,2022-03-01,2021-11-30
Niger,3,2022-04-01,2023-08-01,2022-03-07
Niger,4,2023-09-01,2024-01-01,2023-08-02
Niger,3,2024-02-01,2025-10-01,2024-01-08
Niger,4,2025-11-01,,2025-10-31
Nigeria,3,2018-03-01,,2018-01-10
North Korea,4,2018-03-01,2018-06-01,2018-01-10
North Korea (Democratic People's Republic of Korea),4,2018-07-01,,2018-01-10
North Macedonia,1,2019-03-01,2020-08-01,2018-12-26
North Macedonia,3,2020-09-01,2021-04-01,2020-08-06
North Macedonia,4,2021-05-01,2021-06-01,2021-04-20
North Macedonia,3,2021-07-01,2021-07-01,2021-06-17
North Macedonia,1,2021-08-01,2021-08-01,2021-07-12
North Macedonia,4,2021-09-01,2022-04-01,2021-08-30
North Macedonia,1,2022-05-01,2025-08-01,2022-04-19
Norway,1,2018-03-01,2020-08-01,2018-01-10
Norway,3,2020-09-01,2021-04-01,2020-08-06
Norway,4,2021-05-01,2021-06-01,2021-04-20
Norway,3,2021-07-01,2021-09-01,2021-06-17
Norway,4,2021-10-01,2022-04-01,2021-09-27
Norway,1,2022-05-01,,2022-04-19
Oman,1,2018-03-01,2020-08-01,2018-01-10
Oman,4,2020-09-01,2021-02-01,2020-08-06
Oman,3,2021-03-01,2021-04-01,2021-03-01
Oman,4,2021-05-01,2021-08-01,2021-04-21
Oman,3,2021-09-01,2021-10-01,2021-08-31
Oman,2,2021-11-01,2022-01-01,2021-10-25
Oman,3,2022-02-01,2022-02-01,2022-01-31
Oman,4,2022-03-01,2022-04-01,2022-02-07
Oman,2,2022-05-01,2026-03-01,2022-04-25
Oman,3,2026-04-01,,2026-03-13
Pakistan,3,2018-03-01,2020-08-01,2018-01-10
Pakistan,4,2020-09-01,2020-09-01,2020-08-06
Pakistan,3,2020-10-01,2021-04-01,2020-09-08
Pakistan,4,2021-05-01,2021-07-01,2021-04-20
Pakistan,3,2021-08-01,,2021-07-19
Palau,1,2018-03-01,2020-08-01,2018-01-10
Palau,2,2020-09-01,2022-04-01,2020-08-17
Palau,1,2022-05-01,,2022-04-18
Panama,1,2018-03-01,2020-08-01,2018-01-10
Panama,4,2020-09-01,2020-10-01,2020-08-06
Panama,3,2020-11-01,2021-04-01,2020-10-26
Panama,4,2021-05-01,2021-06-01,2021-04-20
Panama,3,2021-07-01,2021-07-01,2021-06-16
Panama,4,2021-08-01,2021-09-01,2021-07-12
Panama,3,2021-10-01,2022-01-01,2021-09-27
Panama,4,2022-02-01,2022-04-01,2022-01-18
Panama,3,2022-05-01,2022-10-01,2022-04-20
Panama,2,2022-11-01,,2022-10-05
Papua New Guinea,2,2018-03-01,2020-08-01,2018-01-10
Papua New Guinea,3,2020-09-01,2020-11-01,2020-08-06
Papua New Guinea,2,2020-12-01,2021-04-01,2020-11-23
Papua New Guinea,4,2021-05-01,2022-07-01,2021-04-20
Papua New Guinea,3,2022-08-01,,2022-07-11
Paraguay,1,2018-03-01,2020-08-01,2018-01-10
Paraguay,3,2020-09-01,2021-04-01,2020-08-06
Paraguay,4,2021-05-01,2021-08-01,2021-04-20
Paraguay,3,2021-09-01,2021-10-01,2021-08-23
Paraguay,1,2021-11-01,2022-01-01,2021-10-18
Paraguay,4,2022-02-01,2022-04-01,2022-01-31
Paraguay,1,2022-05-01,,2022-05-02
Peru,1,2018-03-01,2019-07-01,2018-01-10
Peru,2,2019-08-01,2020-03-01,2019-07-18
Peru,1,2020-04-01,2020-06-01,2018-01-10
Peru,2,2020-07-01,2020-08-01,2019-10-22
Peru,4,2020-09-01,2020-11-01,2020-08-06
Peru,3,2020-12-01,2021-04-01,2020-11-23
Peru,4,2021-05-01,2021-06-01,2021-04-20
Peru,3,2021-07-01,2021-10-01,2021-06-16
Peru,2,2021-11-01,2021-12-01,2021-10-04
Peru,3,2022-01-01,2022-01-01,2021-12-20
Peru,4,2022-02-01,2022-03-01,2022-01-31
Peru,3,2022-04-01,2022-04-01,2022-03-28
Peru,2,2022-05-01,2022-06-01,2022-04-27
Peru,3,2022-07-01,2023-05-01,2022-06-29
Peru,2,2023-06-01,,2023-06-01
Philippines,2,2018-04-01,2019-02-01,2018-01-24
Philippines,1,2019-03-01,2019-03-01,2018-04-13
Philippines,2,2019-04-01,2020-08-01,2018-04-13
Philippines,3,2020-09-01,2021-04-01,2020-08-06
Philippines,4,2021-05-01,2021-06-01,2021-04-20
Philippines,3,2021-07-01,2021-12-01,2021-06-16
Philippines,2,2022-01-01,2022-01-01,2021-12-13
Philippines,4,2022-02-01,2022-03-01,2022-01-31
Philippines,3,2022-04-01,2022-04-01,2022-03-28
Philippines,2,2022-05-01,,2022-04-18
Phillippines,2,2018-03-01,2018-03-01,2018-01-24
Poland,1,2018-03-01,2020-08-01,2018-01-10
Poland,3,2020-09-01,2021-04-01,2020-08-06
Poland,4,2021-05-01,2021-06-01,2021-04-20
Poland,3,2021-07-01,2021-11-01,2021-06-17
Poland,4,2021-12-01,2022-04-01,2021-11-30
Poland,3,2022-05-01,2022-06-01,2022-04-19
Poland,1,2022-07-01,,2022-06-06
Portugal,1,2018-03-01,2020-08-01,2018-01-10
Portugal,3,2020-09-01,2021-04-01,2020-08-06
Portugal,4,2021-05-01,2021-06-01,2021-04-20
Portugal,3,2021-07-01,2021-07-01,2021-06-17
Portugal,4,2021-08-01,2021-10-01,2021-07-26
Portugal,3,2021-11-01,2021-12-01,2021-10-04
Portugal,4,2022-01-01,2022-04-01,2021-12-06
Portugal,1,2022-05-01,,2022-04-19
Qatar,1,2018-03-01,2020-08-01,2018-01-10
Qatar,3,2020-09-01,2021-04-01,2020-08-06
Qatar,4,2021-05-01,2021-06-01,2021-04-21
Qatar,3,2021-07-01,2022-01-01,2021-06-16
Qatar,4,2022-02-01,2022-03-01,2022-01-18
Qatar,3,2022-04-01,2022-04-01,2022-03-28
Qatar,1,2022-05-01,2026-03-01,2022-04-18
Qatar,3,2026-04-01,,2026-03-02
Republic of North Macedonia,1,2025-09-01,,2025-01-14
Republic of the Congo,2,2018-07-01,2020-08-01,2018-04-03
Republic of the Congo,3,2020-09-01,2021-04-01,2020-08-06
Republic of the Congo,4,2021-05-01,2021-06-01,2021-04-20
Republic of the Congo,2,2021-07-01,2021-07-01,2021-06-21
Republic of the Congo,4,2021-08-01,2021-08-01,2021-07-06
Republic of the Congo,2,2021-09-01,2021-11-01,2021-08-24
Republic of the Congo,3,2021-12-01,2021-12-01,2021-11-08
Republic of the Congo,2,2022-01-01,2022-01-01,2021-12-13
Republic of the Congo,3,2022-02-01,2022-02-01,2022-01-24
Republic of the Congo,2,2022-03-01,,2022-02-28
Romania,1,2018-03-01,2020-08-01,2018-01-10
Romania,3,2020-09-01,2021-04-01,2020-08-06
Romania,4,2021-05-01,2021-06-01,2021-04-20
Romania,3,2021-07-01,2021-07-01,2021-06-17
Romania,1,2021-08-01,2021-08-01,2021-07-12
Romania,2,2021-09-01,2021-09-01,2021-08-30
Romania,3,2021-10-01,2021-10-01,2021-09-13
Romania,4,2021-11-01,2022-04-01,2021-10-12
Romania,1,2022-05-01,,2022-04-19
Russia,3,2018-03-01,2018-12-01,2018-01-10
Russia,2,2019-01-01,2020-08-01,2018-12-10
Russia,4,2020-09-01,,2020-08-06
Rwanda,1,2018-03-01,2020-08-01,2018-01-10
Rwanda,3,2020-09-01,2020-11-01,2020-08-06
Rwanda,2,2020-12-01,2021-01-01,2020-11-23
Rwanda,3,2021-02-01,2021-04-01,2021-01-12
Rwanda,2,2021-05-01,2021-07-01,2021-04-21
Rwanda,4,2021-08-01,2021-08-01,2021-07-06
Rwanda,3,2021-09-01,2021-10-01,2021-08-30
Rwanda,2,2021-11-01,2022-01-01,2021-10-12
Rwanda,3,2022-02-01,2022-02-01,2022-01-10
Rwanda,2,2022-03-01,2022-03-01,2022-02-28
Rwanda,1,2022-04-01,2024-10-01,2022-03-07
Rwanda,3,2024-11-01,2024-11-01,2024-10-07
Rwanda,2,2024-12-01,2026-05-01,2024-11-22
Rwanda,3,2026-06-01,,2026-05-17
Saba,1,2021-07-01,2022-01-01,2021-06-16
Saba,3,2022-02-01,2022-02-01,2022-01-18
Saba,4,2022-03-01,2022-03-01,2022-02-28
Saba,1,2022-04-01,,2022-03-14
Saint Barthélemy (French West Indies),1,2025-09-01,,2024-08-22
Saint Kitts and Nevis,1,2018-03-01,2020-08-01,2018-01-10
Saint Kitts and Nevis,3,2020-09-01,2020-11-01,2020-08-17
Saint Kitts and Nevis,2,2020-12-01,2021-06-01,2020-11-23
Saint Kitts and Nevis,3,2021-07-01,2021-09-01,2021-06-28
Saint Kitts and Nevis,4,2021-10-01,2021-12-01,2021-09-13
Saint Kitts and Nevis,3,2022-01-01,2022-01-01,2021-12-06
Saint Kitts and Nevis,4,2022-02-01,2022-03-01,2022-01-18
Saint Kitts and Nevis,2,2022-04-01,2022-04-01,2022-03-28
Saint Kitts and Nevis,1,2022-05-01,,2022-04-19
Saint Lucia,1,2018-03-01,2020-08-01,2018-01-10
Saint Lucia,2,2020-09-01,2020-12-01,2020-08-31
Saint Lucia,3,2021-01-01,2021-04-01,2020-12-07
Saint Lucia,4,2021-05-01,2021-06-01,2021-04-20
Saint Lucia,3,2021-07-01,2021-08-01,2021-06-16
Saint Lucia,4,2021-09-01,2021-11-01,2021-08-30
Saint Lucia,3,2021-12-01,2022-01-01,2021-11-30
Saint Lucia,4,2022-02-01,2022-04-01,2022-01-18
Saint Lucia,1,2022-05-01,,2022-04-19
Saint Martin (French West Indies),1,2025-09-01,,2024-08-22
Saint Vincent and The Grenadines,1,2018-07-01,2020-08-01,2018-01-10
Saint Vincent and The Grenadines,3,2020-09-01,2020-10-01,2020-08-06
Saint Vincent and The Grenadines,2,2020-11-01,2021-01-01,2020-10-19
Saint Vincent and The Grenadines,3,2021-02-01,2021-04-01,2021-01-19
Saint Vincent and The Grenadines,4,2021-05-01,2021-06-01,2021-04-20
Saint Vincent and The Grenadines,3,2021-07-01,2021-10-01,2021-06-16
Saint Vincent and The Grenadines,4,2021-11-01,2021-12-01,2021-10-12
Saint Vincent and The Grenadines,3,2022-01-01,2022-01-01,2021-12-20
Saint Vincent and The Grenadines,4,2022-02-01,2022-03-01,2022-01-31
Saint Vincent and The Grenadines,3,2022-04-01,2022-04-01,2022-03-14
Saint Vincent and The Grenadines,1,2022-05-01,2025-08-01,2022-04-18
Saint Vincent and the Grenadines,1,2018-03-01,2018-06-01,2018-01-10
Saint Vincent and the Grenadines,1,2025-09-01,,2024-12-06
Samoa,1,2018-03-01,2020-08-01,2018-01-10
Samoa,3,2020-09-01,2020-11-01,2020-08-06
Samoa,2,2020-12-01,2021-04-01,2020-11-23
Samoa,3,2021-05-01,2021-06-01,2021-04-21
Samoa,4,2021-07-01,2022-04-01,2021-06-16
Samoa,3,2022-05-01,2022-10-01,2022-04-18
Samoa,1,2022-11-01,,2022-10-24
San Marino,2,2025-09-01,,2025-05-23
Sao Tome & Principe,1,2018-03-01,2018-06-01,2018-01-10
Sao Tome and Principe,1,2018-07-01,2020-08-01,2018-01-10
Sao Tome and Principe,3,2020-09-01,2021-04-01,2020-08-31
Sao Tome and Principe,4,2021-05-01,2021-08-01,2021-04-26
Sao Tome and Principe,2,2021-09-01,2021-09-01,2021-08-16
Sao Tome and Principe,3,2021-10-01,2021-12-01,2021-09-21
Sao Tome and Principe,2,2022-01-01,2022-01-01,2021-12-28
Sao Tome and Principe,4,2022-02-01,2022-02-01,2022-01-18
Sao Tome and Principe,3,2022-03-01,2022-03-01,2022-02-28
Sao Tome and Principe,1,2022-04-01,2025-10-01,2022-03-14
Sao Tome and Principe,2,2025-11-01,2026-04-01,2025-10-08
Sao Tome and Principe,3,2026-05-01,,2026-04-08
Saudi Arabia,2,2018-03-01,2020-08-01,2018-01-10
Saudi Arabia,3,2020-09-01,2021-04-01,2020-08-31
Saudi Arabia,4,2021-05-01,2022-04-01,2021-04-21
Saudi Arabia,3,2022-05-01,2024-09-01,2022-04-18
Saudi Arabia,2,2024-10-01,2026-03-01,2024-09-09
Saudi Arabia,3,2026-04-01,,2026-03-13
Senegal,1,2018-03-01,2019-02-01,2018-01-10
Senegal,2,2019-03-01,2019-04-01,2019-02-20
Senegal,1,2019-05-01,2020-08-01,2019-04-25
Senegal,3,2020-09-01,2021-06-01,2020-08-06
Senegal,1,2021-07-01,2021-07-01,2021-06-16
Senegal,2,2021-08-01,2021-08-01,2021-07-12
Senegal,3,2021-09-01,2021-10-01,2021-08-02
Senegal,1,2021-11-01,2022-01-01,2021-10-18
Senegal,3,2022-02-01,2022-03-01,2022-01-24
Senegal,1,2022-04-01,,2022-03-14
Serbia,1,2018-03-01,2018-12-01,2018-01-10
Serbia,2,2019-01-01,2020-08-01,2018-12-31
Serbia,3,2020-09-01,2021-04-01,2020-08-06
Serbia,4,2021-05-01,2021-06-01,2021-04-20
Serbia,3,2021-07-01,2021-07-01,2021-06-17
Serbia,2,2021-08-01,2021-08-01,2021-07-12
Serbia,3,2021-09-01,2021-09-01,2021-08-23
Serbia,4,2021-10-01,2022-04-01,2021-09-13
Serbia,2,2022-05-01,,2022-04-19
Seychelles,1,2018-03-01,2020-08-01,2018-01-10
Seychelles,3,2020-09-01,2020-11-01,2020-08-06
Seychelles,2,2020-12-01,2021-02-01,2020-11-23
Seychelles,3,2021-03-01,2021-04-01,2021-02-01
Seychelles,4,2021-05-01,2022-04-01,2021-04-20
Seychelles,1,2022-05-01,,2022-04-19
Sierra Leone,2,2018-03-01,2020-08-01,2018-01-10
Sierra Leone,3,2020-09-01,2021-07-01,2020-08-31
Sierra Leone,4,2021-08-01,2021-08-01,2021-07-06
Sierra Leone,3,2021-09-01,2021-12-01,2021-08-30
Sierra Leone,2,2022-01-01,2022-02-01,2021-12-21
Sierra Leone,3,2022-03-01,2022-04-01,2022-02-16
Sierra Leone,2,2022-05-01,,2022-04-19
Singapore,1,2018-03-01,2020-08-01,2018-01-10
Singapore,3,2020-09-01,2020-12-01,2020-08-06
Singapore,1,2021-01-01,2021-01-01,2020-12-14
Singapore,2,2021-02-01,2021-06-01,2021-01-25
Singapore,1,2021-07-01,2021-08-01,2021-06-16
Singapore,2,2021-09-01,2021-09-01,2021-08-09
Singapore,3,2021-10-01,2021-10-01,2021-09-27
Singapore,4,2021-11-01,2022-04-01,2021-10-18
Singapore,1,2022-05-01,,2022-04-18
Sint Eustatius,3,2021-07-01,2022-04-01,2021-06-16
Sint Eustatius,1,2022-05-01,,2022-04-18
Sint Maarten,1,2018-03-01,2020-08-01,2018-01-10
Sint Maarten,3,2020-09-01,2021-08-01,2020-08-06
Sint Maarten,4,2021-09-01,2021-11-01,2021-08-23
Sint Maarten,3,2021-12-01,2021-12-01,2021-11-08
Sint Maarten,2,2022-01-01,2022-01-01,2021-12-13
Sint Maarten,4,2022-02-01,2022-03-01,2022-01-18
Sint Maarten,3,2022-04-01,2022-04-01,2022-03-14
Sint Maarten,1,2022-05-01,,2022-04-18
Slovakia,1,2018-03-01,2020-08-01,2018-01-10
Slovakia,3,2020-09-01,2021-04-01,2020-08-06
Slovakia,4,2021-05-01,2021-06-01,2021-04-20
Slovakia,3,2021-07-01,2021-07-01,2021-06-17
Slovakia,1,2021-08-01,2021-09-01,2021-07-19
Slovakia,3,2021-10-01,2021-11-01,2021-09-27
Slovakia,4,2021-12-01,2022-04-01,2021-11-02
Slovakia,1,2022-05-01,,2022-04-19
Slovenia,1,2018-03-01,2020-08-01,2018-01-10
Slovenia,3,2020-09-01,2021-04-01,2020-08-06
Slovenia,4,2021-05-01,2021-07-01,2021-04-20
Slovenia,3,2021-08-01,2021-09-01,2021-07-06
Slovenia,4,2021-10-01,2022-04-01,2021-09-13
Slovenia,3,2022-05-01,2022-05-01,2022-04-19
Slovenia,1,2022-06-01,,2022-05-16
Solomon Island,1,2018-07-01,2020-08-01,2018-01-10
Solomon Island,3,2020-09-01,2021-04-01,2020-08-06
Solomon Island,4,2021-05-01,2022-04-01,2021-04-20
Solomon Island,3,2022-05-01,2022-07-01,2022-04-18
Solomon Island,2,2022-08-01,2025-08-01,2022-07-05
Solomon Islands,1,2018-03-01,2018-06-01,2018-01-10
Solomon Islands,2,2025-09-01,,2025-04-29
Somalia,4,2018-03-01,,2018-01-10
South Africa,2,2018-03-01,2020-08-01,2018-02-13
South Africa,3,2020-09-01,2021-04-01,2020-08-06
South Africa,4,2021-05-01,2021-06-01,2021-04-20
South Africa,3,2021-07-01,2021-07-01,2021-06-17
South Africa,4,2021-08-01,2021-10-01,2021-07-06
South Africa,3,2021-11-01,2021-11-01,2021-10-04
South Africa,4,2021-12-01,2022-02-01,2021-11-27
South Africa,3,2022-03-01,2022-04-01,2022-02-07
South Africa,2,2022-05-01,,2022-04-19
South Korea,1,2018-03-01,2020-02-01,2018-01-10
South Korea,3,2020-03-01,2020-11-01,2020-02-29
South Korea,2,2020-12-01,2021-06-01,2020-11-23
South Korea,1,2021-07-01,2021-08-01,2021-06-17
South Korea,2,2021-09-01,2021-10-01,2021-08-02
South Korea,3,2021-11-01,2022-02-01,2021-10-12
South Korea,4,2022-03-01,2022-04-01,2022-02-14
South Korea,1,2022-05-01,,2022-04-18
South Sudan,4,2018-03-01,,2018-01-10
Spain,2,2018-03-01,2020-08-01,2018-01-10
Spain,3,2020-09-01,2021-04-01,2020-08-10
Spain,4,2021-05-01,2021-06-01,2021-04-20
Spain,3,2021-07-01,2021-07-01,2021-06-17
Spain,4,2021-08-01,2021-10-01,2021-07-26
Spain,3,2021-11-01,2021-12-01,2021-10-12
Spain,4,2022-01-01,2022-04-01,2021-12-20
Spain,2,2022-05-01,,2022-04-19
Sri Lanka,1,2018-03-01,2019-04-01,2018-01-10
Sri Lanka,3,2019-05-01,2019-06-01,2019-04-26
Sri Lanka,2,2019-07-01,2020-08-01,2019-06-24
Sri Lanka,3,2020-09-01,2021-04-01,2020-08-06
Sri Lanka,2,2021-05-01,2021-05-01,2021-04-21
Sri Lanka,4,2021-06-01,2021-07-01,2021-05-24
Sri Lanka,3,2021-08-01,2021-09-01,2021-07-06
Sri Lanka,4,2021-10-01,2021-10-01,2021-09-07
Sri Lanka,3,2021-11-01,2022-09-01,2021-10-25
Sri Lanka,2,2022-10-01,,2022-09-22
Sudan,3,2018-03-01,2019-04-01,2018-01-10
Sudan,4,2019-05-01,2019-09-01,2019-04-11
Sudan,3,2019-10-01,2021-06-01,2019-09-26
Sudan,4,2021-07-01,,2021-06-28
Suriname,1,2018-03-01,2020-08-01,2018-01-10
Suriname,3,2020-09-01,2021-04-01,2020-08-06
Suriname,4,2021-05-01,2022-04-01,2021-04-20
Suriname,1,2022-05-01,,2022-04-18
Swaziland,1,2018-03-01,2018-05-01,2018-01-10
Sweden,1,2018-03-01,2020-08-01,2018-01-10
Sweden,3,2020-09-01,2021-04-01,2020-08-06
Sweden,4,2021-05-01,2021-07-01,2021-04-20
Sweden,3,2021-08-01,2021-12-01,2021-07-12
Sweden,4,2022-01-01,2022-04-01,2021-12-28
Sweden,1,2022-05-01,2023-02-01,2022-04-19
Sweden,2,2023-03-01,,2023-02-13
Switzerland,1,2018-03-01,2020-08-01,2018-01-10
Switzerland,3,2020-09-01,2021-04-01,2020-08-06
Switzerland,4,2021-05-01,2021-06-01,2021-04-20
Switzerland,3,2021-07-01,2021-08-01,2021-06-17
Switzerland,4,2021-09-01,2022-04-01,2021-08-30
Switzerland,1,2022-05-01,,2022-04-19
Syria,4,2018-03-01,,2018-01-10
Taiwan,1,2018-03-01,2021-04-01,2018-01-10
Taiwan,3,2021-05-01,2022-10-01,2021-04-21
Taiwan,1,2022-11-01,,2022-10-24
Tajikistan,1,2018-03-01,2018-08-01,2018-01-10
Tajikistan,2,2018-09-01,2020-03-01,2018-08-03
Tajikistan,3,2020-04-01,2020-08-01,2020-03-18
Tajikistan,4,2020-09-01,2020-11-01,2020-08-06
Tajikistan,3,2020-12-01,2021-04-01,2020-11-23
Tajikistan,4,2021-05-01,2022-04-01,2021-04-21
Tajikistan,2,2022-05-01,,2022-04-18
Tanzania,2,2018-03-01,2020-08-01,2018-01-10
Tanzania,3,2020-09-01,2021-02-01,2020-08-06
Tanzania,4,2021-03-01,2022-04-01,2021-03-01
Tanzania,2,2022-05-01,2025-10-01,2022-04-19
Tanzania,3,2025-11-01,,2025-10-31
Thailand,1,2018-03-01,2020-08-01,2018-01-10
Thailand,2,2020-09-01,2020-11-01,2020-08-06
Thailand,1,2020-12-01,2021-01-01,2020-11-23
Thailand,2,2021-02-01,2021-02-01,2021-01-25
Thailand,3,2021-03-01,2021-04-01,2021-03-01
Thailand,2,2021-05-01,2021-05-01,2021-04-20
Thailand,3,2021-06-01,2021-08-01,2021-05-17
Thailand,4,2021-09-01,2021-11-01,2021-08-09
Thailand,3,2021-12-01,2022-03-01,2021-11-08
Thailand,4,2022-04-01,2022-04-01,2022-03-07
Thailand,1,2022-05-01,2025-07-01,2022-04-18
Thailand,2,2025-08-01,2025-08-01,2025-07-25
Thailand,1,2025-09-01,2025-09-01,2025-06-09
Thailand,2,2025-10-01,,2025-07-25
The Bahamas,2,2018-03-01,2020-08-01,2018-01-10
The Bahamas,4,2020-09-01,2020-11-01,2020-08-06
The Bahamas,3,2020-12-01,2021-04-01,2020-11-23
The Bahamas,4,2021-05-01,2021-06-01,2021-04-20
The Bahamas,3,2021-07-01,2021-08-01,2021-06-16
The Bahamas,4,2021-09-01,2021-11-01,2021-08-23
The Bahamas,3,2021-12-01,2021-12-01,2021-11-15
The Bahamas,2,2022-01-01,2022-01-01,2021-12-20
The Bahamas,4,2022-02-01,2022-03-01,2022-01-18
The Bahamas,2,2022-04-01,2025-11-01,2022-03-28
The Gambia,1,2018-03-01,2020-08-01,2018-01-10
The Gambia,3,2020-09-01,2021-06-01,2020-08-06
The Gambia,1,2021-07-01,2021-08-01,2021-06-16
The Gambia,3,2021-09-01,2021-11-01,2021-08-02
The Gambia,1,2021-12-01,2022-01-01,2021-11-15
The Gambia,3,2022-02-01,2022-03-01,2022-01-31
The Gambia,1,2022-04-01,2023-03-01,2022-03-21
The Gambia,2,2023-04-01,,2023-03-06
The Kyrgyz Republic,1,2018-07-01,2019-08-01,2018-04-24
The Kyrgyz Republic,2,2019-09-01,2020-01-01,2019-08-09
The Kyrgyz Republic,1,2020-02-01,2020-08-01,2020-01-13
The Kyrgyz Republic,4,2020-09-01,2021-02-01,2020-08-06
The Kyrgyz Republic,3,2021-03-01,2021-05-01,2021-02-22
The Kyrgyz Republic,4,2021-06-01,2021-06-01,2021-05-17
The Kyrgyz Republic,3,2021-07-01,2021-07-01,2021-06-16
The Kyrgyz Republic,4,2021-08-01,2021-10-01,2021-07-26
The Kyrgyz Republic,1,2021-11-01,2022-02-01,2021-10-25
The Kyrgyz Republic,3,2022-03-01,2022-04-01,2022-02-01
The Kyrgyz Republic,1,2022-05-01,2025-08-01,2022-04-20
The Kyrgyz Republic,1,2026-07-01,,2026-02-10
Timor-Leste,1,2018-03-01,2020-01-01,2018-01-10
Timor-Leste,2,2020-02-01,2020-08-01,2020-01-15
Timor-Leste,3,2020-09-01,2021-05-01,2020-08-06
Timor-Leste,4,2021-06-01,2021-06-01,2021-05-10
Timor-Leste,3,2021-07-01,2021-11-01,2021-06-16
Timor-Leste,4,2021-12-01,2021-12-01,2021-11-30
Timor-Leste,3,2022-01-01,2022-04-01,2021-12-06
Timor-Leste,2,2022-05-01,,2022-04-18
Togo,2,2018-03-01,2019-01-01,2018-01-10
Togo,1,2019-02-01,2020-08-01,2019-01-23
Togo,3,2020-09-01,2021-06-01,2020-08-06
Togo,1,2021-07-01,2021-08-01,2021-06-16
Togo,2,2021-09-01,2021-11-01,2021-08-09
Togo,1,2021-12-01,2022-01-01,2021-11-22
Togo,3,2022-02-01,2022-02-01,2022-01-18
Togo,2,2022-03-01,2022-03-01,2022-02-28
Togo,1,2022-04-01,2024-11-01,2022-03-07
Togo,2,2024-12-01,,2024-11-07
Tonga,1,2018-03-01,2020-08-01,2018-01-10
Tonga,3,2020-09-01,2020-11-01,2020-08-06
Tonga,2,2020-12-01,2021-04-01,2020-11-23
Tonga,4,2021-05-01,2022-11-01,2021-04-20
Tonga,1,2022-12-01,,2022-11-08
Trinidad and Tobago,2,2018-03-01,2019-02-01,2018-02-22
Trinidad and Tobago,1,2019-03-01,2019-03-01,2018-02-22
Trinidad and Tobago,2,2019-04-01,2020-08-01,2019-03-06
Trinidad and Tobago,3,2020-09-01,2021-04-01,2020-08-06
Trinidad and Tobago,4,2021-05-01,2021-08-01,2021-04-26
Trinidad and Tobago,3,2021-09-01,2021-11-01,2021-08-09
Trinidad and Tobago,4,2021-12-01,2022-04-01,2021-11-30
Trinidad and Tobago,2,2022-05-01,2022-11-01,2022-04-18
Trinidad and Tobago,3,2022-12-01,,2022-11-08
Tunisia,2,2018-03-01,2020-08-01,2018-01-10
Tunisia,3,2020-09-01,2021-04-01,2020-08-06
Tunisia,4,2021-05-01,2021-06-01,2021-04-20
Tunisia,3,2021-07-01,2021-07-01,2021-06-16
